Threshold,Frequency of Fingerprints
3,0.9998
6,0.9992
9,0.9923
12,0.9831
15,0.9403
18,0.9043
21,0.7966
24,0.7172
27,0.5109
30,0.3898
33,0.1724
36,0.0977
