Threshold,Frequency of Fingerprints
3,0.9527
6,0.7824
9,0.5362
12,0.3106
15,0.1525
18,0.0734
21,0.0332
24,0.0128
27,0.0051
30,0.0012
33,0.0003
36,0.0001
