63,24
189,30
77,38
162,32
176,20
88,24
228,32
214,34
200,22
201,26
215,28
229,38
177,36
89,34
163,30
188,26
76,30
62,22
74,28
60,20
48,20
149,18
175,38
161,20
203,22
217,14
216,30
202,12
160,12
174,32
148,16
49,6
61,32
75,32
59,32
71,12
65,40
170,34
164,30
158,20
206,12
212,22
213,28
207,28
159,32
165,26
171,34
64,28
70,26
58,16
8,36
198,26
66,30
72,16
167,34
99,18
173,32
211,38
205,28
239,32
238,34
204,22
210,32
172,22
166,24
98,34
73,24
199,24
67,34
9,10
14,22
28,18
129,38
101,24
115,22
303,38
317,30
288,30
277,24
263,24
262,26
276,34
289,28
316,32
302,24
114,32
100,30
128,28
29,18
15,24
17,30
116,36
102,16
314,30
300,26
248,30
260,34
274,18
275,28
261,34
249,34
301,30
315,34
103,34
117,28
16,14
12,10
113,24
107,16
311,32
305,40
265,24
271,30
259,44
258,30
270,22
264,26
304,32
310,38
106,24
112,40
13,16
39,26
11,28
104,14
110,34
138,36
306,36
312,28
299,40
272,28
266,34
267,34
273,32
298,42
313,24
307,32
139,16
111,30
105,26
10,26
38,36
21,24
35,28
108,30
120,28
134,28
295,36
281,34
256,20
242,36
243,26
257,30
280,32
294,16
135,38
121,36
109,26
34,16
20,36
36,10
22,10
137,30
123,32
309,46
282,34
296,34
269,14
241,30
255,34
254,34
240,32
268,36
297,32
283,26
320,30
308,34
122,26
136,8
23,26
37,34
33,14
27,26
132,28
126,36
318,32
287,34
293,28
244,28
250,24
278,34
279,28
251,32
245,30
292,18
286,28
319,26
127,18
133,32
26,30
32,14
18,38
24,28
30,12
125,32
131,24
119,30
290,30
284,28
253,22
247,36
246,28
252,24
285,18
291,34
118,30
130,28
124,34
31,12
25,32
19,28
42,8
4,34
56,30
180,28
194,34
81,38
95,26
143,18
157,10
209,32
235,32
221,32
220,22
234,38
208,28
156,38
142,28
94,36
80,22
195,28
181,32
5,38
57,36
43,32
55,36
7,24
41,34
69,16
197,36
183,26
96,30
168,32
82,22
154,26
140,16
222,18
236,32
237,36
223,12
141,28
155,26
83,28
97,10
169,24
182,24
68,26
196,20
40,14
54,16
6,34
192,22
78,32
186,26
2,16
50,24
44,26
151,20
145,20
93,24
87,34
179,30
227,32
233,26
232,36
226,32
86,32
178,38
92,8
144,36
150,22
45,38
3,20
51,30
79,20
187,18
193,36
185,24
191,14
47,38
53,36
1,36
146,24
152,14
84,26
90,8
230,34
224,28
218,36
219,28
225,32
231,40
91,32
85,32
153,36
147,32
52,32
46,40
190,26
184,26
