63,10
189,12
77,15
162,7
176,2
88,9
228,12
214,10
200,4
201,10
215,11
229,9
177,10
89,14
163,7
188,8
76,13
62,4
74,15
60,5
48,10
149,3
175,9
161,4
203,5
217,6
216,11
202,3
160,3
174,10
148,3
49,1
61,7
75,16
59,12
71,3
65,15
170,5
164,7
158,4
206,3
212,7
213,12
207,5
159,6
165,7
171,6
64,8
70,6
58,5
8,14
198,7
66,8
72,3
167,12
99,9
173,11
211,8
205,7
239,6
238,9
204,5
210,5
172,3
166,5
98,9
73,7
199,8
67,14
9,2
14,4
28,3
129,13
101,7
115,6
303,12
317,6
288,7
277,9
263,15
262,9
276,15
289,5
316,12
302,7
114,10
100,12
128,11
29,3
15,14
17,12
116,8
102,1
314,6
300,7
248,10
260,9
274,7
275,9
261,10
249,8
301,10
315,10
103,14
117,13
16,9
12,1
113,5
107,3
311,10
305,8
265,8
271,5
259,8
258,10
270,8
264,10
304,11
310,12
106,7
112,10
13,9
39,8
11,8
104,8
110,13
138,6
306,9
312,3
299,16
272,6
266,13
267,11
273,6
298,11
313,6
307,8
139,2
111,15
105,7
10,2
38,12
21,5
35,5
108,10
120,7
134,6
295,10
281,14
256,5
242,11
243,8
257,10
280,10
294,2
135,9
121,10
109,5
34,9
20,7
36,9
22,3
137,10
123,8
309,11
282,8
296,8
269,3
241,4
255,6
254,4
240,6
268,10
297,9
283,7
320,8
308,9
122,11
136,4
23,9
37,4
33,6
27,10
132,11
126,9
318,5
287,7
293,6
244,11
250,8
278,9
279,15
251,13
245,7
292,3
286,11
319,5
127,5
133,5
26,6
32,2
18,16
24,6
30,2
125,8
131,7
119,5
290,9
284,10
253,5
247,8
246,11
252,10
285,8
291,6
118,10
130,5
124,9
31,4
25,9
19,12
42,0
4,9
56,8
180,3
194,12
81,10
95,12
143,3
157,2
209,9
235,7
221,4
220,3
234,11
208,7
156,8
142,6
94,17
80,3
195,9
181,7
5,3
57,17
43,11
55,14
7,6
41,7
69,4
197,9
183,7
96,12
168,8
82,3
154,9
140,7
222,4
236,5
237,17
223,4
141,5
155,10
83,15
97,7
169,7
182,5
68,8
196,7
40,3
54,9
6,13
192,3
78,15
186,8
2,8
50,5
44,9
151,3
145,3
93,12
87,15
179,8
227,11
233,5
232,7
226,16
86,8
178,12
92,3
144,7
150,4
45,11
3,8
51,11
79,3
187,7
193,11
185,7
191,5
47,16
53,16
1,6
146,5
152,2
84,13
90,3
230,7
224,11
218,6
219,4
225,8
231,8
91,5
85,14
153,8
147,9
52,9
46,13
190,6
184,4
