Threshold,Frequency of Fingerprints
3,0.9941
6,0.9749
9,0.9449
12,0.9057
15,0.8303
18,0.7276
21,0.6087
24,0.4768
27,0.3539
30,0.2521
33,0.156
36,0.0855
