Threshold,Frequency of Fingerprints
3,0.0063
6,0.0375
9,0.0656
12,0.1219
15,0.2031
18,0.2969
21,0.4313
24,0.5875
27,0.7219
30,0.825
33,0.8906
36,0.9281
