fingerprints,63,189,77,162,176,88,228,214,200,201,215,229,177,89,163,188,76,62,74,60,48,149,175,161,203,217,216,202,160,174,148,49,61,75,59,71,65,170,164,158,206,212,213,207,159,165,171,64,70,58,8,198,66,72,167,99,173,211,205,239,238,204,210,172,166,98,73,199,67,9,14,28,129,101,115,303,317,288,277,263,262,276,289,316,302,114,100,128,29,15,17,116,102,314,300,248,260,274,275,261,249,301,315,103,117,16,12,113,107,311,305,265,271,259,258,270,264,304,310,106,112,13,39,11,104,110,138,306,312,299,272,266,267,273,298,313,307,139,111,105,10,38,21,35,108,120,134,295,281,256,242,243,257,280,294,135,121,109,34,20,36,22,137,123,309,282,296,269,241,255,254,240,268,297,283,320,308,122,136,23,37,33,27,132,126,318,287,293,244,250,278,279,251,245,292,286,319,127,133,26,32,18,24,30,125,131,119,290,284,253,247,246,252,285,291,118,130,124,31,25,19,42,4,56,180,194,81,95,143,157,209,235,221,220,234,208,156,142,94,80,195,181,5,57,43,55,7,41,69,197,183,96,168,82,154,140,222,236,237,223,141,155,83,97,169,182,68,196,40,54,6,192,78,186,2,50,44,151,145,93,87,179,227,233,232,226,86,178,92,144,150,45,3,51,79,187,193,185,191,47,53,1,146,152,84,90,230,224,218,219,225,231,91,85,153,147,52,46,190,184
63,0,24,26,12,30,20,26,26,26,22,18,28,32,22,14,20,14,18,24,20,20,16,32,36,20,18,26,20,28,30,24,18,10,24,20,26,12,26,8,12,26,14,36,22,28,20,20,14,20,26,16,22,12,26,22,28,22,12,28,30,32,22,18,30,16,26,22,26,12,22,38,26,20,22,22,14,30,14,18,16,18,24,16,32,26,18,28,28,28,30,30,12,22,24,30,28,34,28,34,20,16,18,32,16,12,22,36,30,28,24,32,24,12,32,30,30,24,24,26,24,16,30,34,26,22,16,24,28,24,24,22,30,24,16,18,26,20,20,26,12,28,36,26,24,22,24,30,24,30,14,12,30,18,20,24,14,30,22,26,18,28,28,22,28,20,10,16,24,16,14,16,30,26,20,32,22,30,24,12,42,22,30,22,32,28,16,20,24,24,26,22,24,14,24,22,26,20,28,42,34,20,32,24,20,34,42,32,24,26,24,22,28,32,28,24,24,32,20,24,30,36,18,14,16,22,14,26,32,24,18,18,20,28,16,30,20,24,34,26,24,24,32,28,28,10,20,16,26,20,32,22,36,12,28,18,34,12,16,30,32,34,16,28,26,14,22,20,30,40,18,30,36,24,24,16,32,16,22,18,42,18,18,30,24,18,34,38,32,20,14,28,22,18,22,24,22,28,30,20,20,20,18,30,18,20,22,32,20,20,18,16,12,44,20,32,26,18,24,12,20
189,24,0,22,20,28,32,18,20,26,24,20,40,28,30,18,10,26,24,30,6,14,14,24,22,22,28,28,20,18,32,24,20,20,22,8,36,20,30,18,26,20,22,24,14,22,30,18,22,30,12,28,24,24,32,12,34,28,22,44,30,16,22,20,28,22,34,24,26,22,38,30,14,20,6,26,24,42,18,30,20,24,22,20,32,26,24,34,16,26,22,28,18,12,32,32,22,30,42,20,22,22,22,22,10,22,30,34,22,24,20,28,26,22,34,24,34,26,32,24,24,26,26,26,28,12,16,24,40,20,28,16,16,24,26,22,30,22,28,30,22,30,32,18,38,26,24,22,32,24,24,18,40,26,24,18,16,20,26,36,30,36,22,24,28,20,16,18,34,20,26,22,38,32,26,24,24,24,30,18,28,36,34,24,34,20,16,22,20,24,22,30,28,14,24,20,26,20,24,26,20,32,18,16,20,18,24,20,28,24,22,22,14,34,42,26,26,16,40,34,30,30,14,26,18,24,28,34,30,14,20,24,18,20,32,22,22,28,24,36,28,24,20,30,12,18,14,28,16,28,16,26,42,30,22,22,36,18,18,16,36,38,28,28,26,20,24,30,14,34,10,28,26,26,26,26,22,20,30,14,40,28,30,28,24,24,30,32,28,24,18,28,20,30,22,36,24,22,28,28,16,8,30,18,24,22,22,30,24,18,22,22,28,34,24,22,24,10,22,20,24
77,26,22,0,16,32,24,24,28,30,30,22,34,28,22,32,20,12,24,12,22,20,26,26,28,32,18,28,30,20,38,36,30,24,10,20,18,28,28,26,28,30,32,20,28,26,22,36,22,26,18,32,26,30,16,14,32,20,24,32,36,22,30,30,26,32,30,6,28,22,32,34,14,26,20,18,26,34,32,28,16,28,30,28,30,34,16,30,30,26,28,32,22,16,34,28,22,30,30,22,28,32,32,28,20,24,20,40,26,26,24,28,30,24,28,22,34,28,40,26,24,20,28,26,28,22,16,32,36,22,12,30,26,34,16,26,36,26,22,34,30,28,22,22,24,24,28,32,30,24,36,24,28,16,34,24,24,24,24,24,20,26,24,24,24,32,22,28,32,36,28,28,30,34,34,28,22,26,32,20,22,22,28,16,18,30,28,34,30,26,22,30,24,24,20,28,28,28,28,22,26,20,24,18,20,26,28,24,28,24,30,32,26,30,32,38,34,20,28,20,22,38,22,32,22,28,24,26,26,24,28,14,30,28,36,32,38,32,26,24,8,24,32,28,16,24,24,30,18,30,28,26,26,24,16,22,26,22,30,22,34,30,26,30,34,34,26,20,24,30,22,34,24,6,28,28,26,36,32,24,36,16,38,30,34,34,34,34,36,10,30,34,24,32,14,16,30,32,28,26,20,20,28,26,30,22,14,26,14,20,30,34,36,32,18,30,14,22,30,30,28
162,12,20,16,0,38,22,22,20,32,24,14,36,34,20,18,18,6,26,24,16,18,18,34,34,26,12,36,26,24,26,34,28,14,16,18,26,12,28,12,20,30,16,28,22,30,22,26,12,28,20,28,28,18,26,12,28,18,10,30,38,24,20,18,32,26,26,14,34,14,30,32,20,18,20,16,12,34,16,20,14,22,26,16,28,24,12,26,24,22,24,28,10,20,30,32,28,38,26,28,18,22,20,30,12,14,22,32,24,26,24,34,26,10,34,28,38,24,32,24,28,12,28,28,26,18,10,30,38,20,18,20,30,26,10,12,26,18,24,32,20,32,28,20,28,30,24,38,30,28,22,8,26,12,26,20,10,30,26,28,16,28,28,28,32,20,6,12,32,22,12,14,32,28,28,30,12,30,32,12,34,22,24,18,30,32,18,26,26,24,22,28,24,18,12,24,26,24,28,32,28,18,24,18,18,32,32,32,22,26,32,30,24,30,32,28,34,30,24,24,26,32,22,24,10,30,12,20,28,26,20,8,28,24,22,32,28,24,32,28,16,22,34,32,24,14,16,26,20,30,30,30,32,14,22,16,32,8,20,26,32,30,18,26,28,20,22,26,28,30,14,36,36,16,34,28,30,22,34,20,34,12,26,24,28,24,36,30,34,10,18,34,20,26,12,24,28,30,32,30,20,18,26,30,28,18,16,34,12,16,24,18,22,38,16,32,18,14,28,20,28
176,30,28,32,38,0,24,30,30,20,30,36,16,6,28,30,22,34,18,30,26,24,36,16,28,30,38,10,30,38,30,18,12,30,30,26,28,30,24,34,26,26,32,20,28,18,20,24,34,24,30,20,24,26,32,26,30,30,38,24,14,34,30,32,20,20,36,32,20,28,30,26,30,20,22,34,32,26,28,30,34,30,34,28,24,34,32,34,28,48,30,24,34,24,30,22,28,10,26,36,32,28,28,30,26,32,36,30,24,20,28,12,30,38,18,38,20,30,18,24,16,30,24,28,36,26,30,14,20,32,28,30,30,30,34,36,38,32,20,16,20,22,28,42,28,12,36,18,20,38,28,34,26,36,26,34,36,16,20,30,36,28,22,18,10,30,34,34,22,26,34,30,20,30,28,32,36,26,16,32,22,34,34,36,28,16,32,30,32,30,26,28,22,28,44,32,34,32,30,26,36,32,22,28,36,18,30,16,38,36,26,34,26,24,28,26,14,26,30,32,34,28,20,22,32,22,32,38,24,18,22,40,14,28,28,30,26,20,6,34,34,20,10,18,28,26,26,22,18,14,28,12,30,32,36,22,38,36,26,30,12,38,24,22,28,26,36,28,22,26,30,20,12,34,10,18,8,26,12,22,26,32,20,38,26,26,16,28,12,34,22,12,22,26,40,30,24,20,22,12,24,28,16,12,20,28,32,10,32,22,36,28,30,26,32,12,32,30,16,26,16
88,20,32,24,22,24,0,30,40,26,32,26,22,24,4,30,28,16,18,24,28,24,30,28,26,34,22,18,38,32,28,24,26,20,26,28,30,28,18,24,22,42,28,20,38,26,16,36,26,18,26,12,32,26,26,32,22,30,26,24,34,42,32,30,20,32,20,20,24,16,16,32,26,26,28,24,26,26,32,28,16,26,38,28,18,28,18,22,24,38,28,24,26,26,26,24,38,28,24,40,38,32,32,44,26,24,30,36,22,18,26,22,18,26,28,40,18,34,24,28,14,20,24,40,32,28,28,20,24,30,26,34,40,42,24,28,28,28,12,22,24,20,38,32,32,12,26,26,28,38,32,24,14,24,36,36,26,36,14,36,28,36,24,20,22,32,24,28,20,30,30,34,24,32,38,46,30,32,20,20,28,32,42,26,30,22,28,30,40,36,30,30,18,24,26,34,26,36,22,38,38,30,28,26,30,26,42,38,34,36,38,34,36,24,20,38,24,32,12,32,32,32,26,18,30,22,22,30,24,26,20,24,20,40,30,40,36,16,24,28,24,20,28,18,30,20,34,8,30,20,44,14,36,22,22,24,30,26,28,44,28,28,20,8,20,30,28,22,38,38,26,20,26,22,18,14,26,34,22,26,34,10,30,34,42,34,28,24,24,24,28,20,28,20,20,22,22,38,22,16,26,24,12,34,22,24,16,24,26,30,34,32,32,38,22,26,32,26,28,22,16
228,26,18,24,22,30,30,0,16,36,24,14,28,30,30,18,24,26,30,30,18,30,16,26,28,18,22,26,18,32,32,26,28,26,20,20,36,24,20,24,24,20,26,22,12,20,24,18,22,34,24,28,22,28,32,20,36,32,24,28,30,16,20,20,18,30,36,28,30,28,38,30,24,30,22,16,28,30,26,28,24,22,16,18,30,28,22,42,24,28,22,28,24,26,26,16,22,22,26,24,20,18,20,24,20,16,30,32,26,22,14,30,24,24,20,18,28,24,32,20,24,26,28,34,32,28,20,26,32,26,28,24,18,22,22,22,24,16,26,20,30,30,36,30,38,24,38,30,22,22,30,20,34,18,20,22,18,30,26,38,28,38,32,20,24,20,20,20,24,28,24,26,24,30,20,26,22,14,26,28,32,34,38,24,40,30,18,38,18,24,16,24,24,24,28,22,32,14,30,36,36,32,22,24,28,28,34,30,20,20,22,22,12,28,26,28,20,32,34,32,42,32,28,22,24,22,24,30,36,24,24,18,22,14,32,26,22,30,26,36,28,22,26,28,26,28,24,28,26,28,16,28,38,28,24,28,34,24,28,16,30,28,28,30,32,26,36,36,24,34,24,30,24,30,28,26,28,26,26,26,34,26,32,32,24,20,18,32,24,22,28,28,28,20,24,32,24,22,24,24,30,22,26,28,22,18,22,22,24,22,14,32,26,34,22,26,30,24,32,30,24
214,26,20,28,20,30,40,16,0,32,18,16,36,30,38,16,24,26,36,32,16,30,16,28,34,14,22,32,12,30,24,26,28,24,22,18,34,20,30,20,26,14,18,32,10,26,34,12,18,40,22,38,26,24,34,18,34,26,16,28,26,16,12,14,28,26,34,30,34,28,46,22,24,24,22,18,22,36,18,26,28,22,12,14,36,28,24,36,22,24,20,24,18,24,22,24,24,26,26,14,8,16,14,18,18,18,24,22,24,30,20,32,30,16,28,16,34,16,24,22,34,22,26,22,22,26,20,26,34,20,24,16,18,10,18,18,24,18,38,22,26,36,24,24,30,36,38,34,28,18,22,22,36,20,16,12,20,24,32,28,26,28,36,28,32,14,20,14,24,18,14,12,32,36,14,18,18,18,30,26,34,30,24,24,34,32,18,34,8,16,20,20,28,28,26,16,32,12,32,28,28,28,22,22,24,30,26,24,22,18,18,20,12,30,38,12,28,32,44,30,34,24,28,28,14,30,22,26,34,26,24,20,30,8,20,22,14,28,28,30,30,24,26,34,26,26,12,40,22,36,12,40,28,26,26,26,26,18,24,16,28,26,24,34,30,22,34,38,18,28,22,38,32,32,36,34,28,18,32,26,28,32,22,28,8,12,22,30,24,22,22,34,24,24,22,36,26,16,30,38,30,20,32,22,30,18,26,28,22,14,16,18,18,26,22,26,24,22,26,30,30
200,26,26,30,32,20,26,36,32,0,28,38,34,20,28,32,24,34,20,26,26,26,34,22,18,30,32,24,28,24,26,28,14,36,32,26,28,32,34,34,32,30,32,26,32,28,34,30,38,16,22,20,34,32,26,26,28,26,36,34,28,28,30,32,32,24,30,30,12,28,26,28,28,24,22,28,26,32,30,28,30,28,32,28,32,26,26,24,20,34,24,22,34,22,26,36,26,26,38,28,32,32,34,28,26,32,28,30,28,28,36,24,30,36,36,32,26,26,26,32,24,28,22,26,24,28,30,20,34,30,32,32,34,32,36,38,34,34,30,22,28,18,32,24,28,20,26,12,34,28,30,30,28,32,32,34,36,26,18,26,26,24,16,22,26,34,30,34,30,28,30,30,38,22,30,30,34,38,30,32,22,34,32,34,24,14,34,26,34,24,34,40,18,30,34,30,32,32,16,26,24,28,24,20,28,22,24,24,44,24,30,28,34,36,30,28,18,20,28,30,28,26,24,26,28,20,34,30,24,14,26,36,16,34,28,26,30,22,22,24,30,30,20,18,20,28,22,26,22,20,34,22,32,26,28,24,30,36,28,30,28,32,24,24,24,30,26,24,30,30,28,18,24,28,18,18,18,30,26,30,30,30,30,38,28,28,30,26,26,34,26,26,28,28,32,26,22,32,36,24,26,26,24,26,28,26,30,26,32,24,30,28,32,32,26,24,20,28,16,26,20
